,Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,ipm,IPM
0,14.46,9816,8.99,66.94,1,1
1,13.42,11716,10.53,73.82,1,1
2,13.73,9670,7.54,72.77,1,1
3,14.32,12298,10.35,72.42,1,1
4,13.71,9426,7.17,72.43,2,2
5,12.93,11148,7.6,68.78,2,2
6,12.73,5820,8.6,65.81,2,2
7,11.7,10790,7.1,72.35,2,2
8,12.69,10199,8.15,67.21,2,2
9,12.73,10266,8.29,66.64,2,2
10,13.98,17503,10.39,75.1,3,3
11,12.82,11703,7.42,73.55,1,1
12,13.28,12375,10.36,69.93,1,1
13,12.78,20298,10.38,73.45,3,3
14,13.58,10923,8.23,69.02,1,1
15,11.95,11072,8.09,66.45,2,2
16,12.72,8125,7.44,65.9,2,2
17,12.88,12779,8.51,72.53,1,1
18,12.21,10238,6.95,71.43,2,2
19,12.8,8954,6.98,66.88,2,2
20,15.27,12359,10.15,74.04,1,1
21,11.72,5009,5.12,67.26,4,4
22,12.72,7785,9.19,69.06,2,2
23,11.05,7336,6.65,65.65,2,2
24,12.23,8414,7.46,68.33,2,2
25,12.46,9878,7.47,63.94,2,2
26,12.77,9168,7.89,65.06,2,2
27,13.87,8254,9.14,65.96,2,2
28,13.64,11994,8.16,68.56,1,1
29,14.01,8030,9.67,68.22,2,2
30,13.35,9028,7.55,73.55,1,1
31,14.21,11851,10.74,72.06,1,1
32,13.59,11017,8.24,69.07,1,1
33,11.73,10553,7.22,69.59,2,2
34,12.76,10536,7.79,75.91,1,1
35,14.12,15498,10.25,72.1,1,1
36,12.36,9037,7.86,70.8,2,2
37,14.33,13816,10.35,73.86,1,1
38,12.96,8284,8.24,66.15,2,2
39,12.75,11311,9.18,70.75,1,1
40,13.93,14306,9.95,71.13,1,1
41,11.99,9370,7.94,69.26,2,2
42,12.48,10317,8.3,71.17,1,1
43,12.38,8790,4.86,68.07,2,2
44,12.88,6252,7.26,66.15,2,2
45,13.97,8770,10.03,66.09,2,2
46,5.4,5412,2.16,65.86,4,4
47,12.73,11115,9.43,71.58,1,1
48,12.36,11442,7.04,67.37,2,2
49,15.57,16873,11.21,72.09,3,3
50,13.13,12399,6.8,67.17,2,2
51,13.22,11828,7.85,69.39,1,1
52,13.3,9705,7.97,69.84,2,2
53,12.57,11651,8.36,71.68,1,1
54,13.44,10626,9.56,68.99,1,1
55,12.74,6950,8.95,63.3,2,2
56,12.91,11767,7.9,72.18,1,1
57,14.09,15838,9.99,72.02,1,1
58,13.67,10487,8.87,69.42,1,1
59,12.0,10088,7.62,68.75,2,2
60,13.47,8422,9.43,71.27,1,1
61,12.52,9774,6.68,68.5,2,2
62,12.57,9940,8.68,67.83,2,2
63,12.17,9781,7.67,68.87,2,2
64,12.68,7627,7.7,66.13,2,2
65,12.22,9459,7.57,73.59,2,2
66,15.55,14360,11.92,72.41,3,3
67,13.97,12720,9.58,70.98,1,1
68,14.15,13886,11.27,71.87,1,1
69,14.52,12611,10.36,69.87,1,1
70,12.54,7829,7.48,69.67,2,2
71,14.14,10201,8.73,67.07,1,1
72,13.15,11656,10.18,68.77,1,1
73,14.75,14168,10.24,73.82,1,1
74,13.5,10196,6.27,65.99,2,2
75,15.19,11497,11.06,69.16,1,1
76,12.07,11277,7.35,71.81,2,2
77,12.82,9406,7.12,65.13,2,2
78,11.81,7905,6.0,68.11,2,2
79,15.52,15243,10.53,77.34,3,3
